"Kurs-ID","Modulnummer","Kursname","Dozierende","Semester"
"461","Wi-Inf-M27-F01","Sozialwissenschaftliche Aspekte der Informations- und Wissensgesellschaft","Prof. Dr. rer. Heike Wiesner","SoSe26"
"462","Wi-Inf-M05-F01","Objektorientierte Programmierung I_1","Prof. Dr. Diana Hristova","SoSe26"
"463","Wi-Inf-M02-F01","Grundlagen der Wirtschaftsinformatik 1","Randy Witte","SoSe26"
"464","Wi-Inf-M01-F01","Einführung in das Studium der Wirtschaftsinformatik 2","Thomas Schwier","SoSe26"
"465","Wi-Inf-M02-F01","Grundlagen der Wirtschaftsinformatik 2","Leonie Scholl","SoSe26"
"466","Wi-Inf-M05-F01","Objektorientierte Programmierung I_2","Prof. Dr. Diana Hristova","SoSe26"
"467","Wi-Inf-M06-F01","Objektorientierte Programmierung II_2","Prof. Dr. Alexander Eck","SoSe26"
"468","Wi-Inf-M32-F01","English 1- English for Information Technology Part 1 __ 2","Aleksandar Zivkovic","SoSe26"
"469","Wi-Inf-M33-F01","English 2- English for Information Technology Part 2 __ 2","Alan McElroy","SoSe26"
"470","Wi-Inf-M20-F01","Optimisation and Simulation","Prof. Dr. Frank Brand","SoSe26"
"471","BA-Eco-M43-F01","Praxisseminar","Prof. Dr. Tobias Börger","SoSe26"
"472","BA-Eco-M35-F01","Statistik II_1","Prof. Dr. Thomas Knispel","SoSe26"
"473","BA-Eco-M35-F01","Statistik II_2","Prof. Dr. Markus Löcher","SoSe26"
"474","BA-Eco-M35-F01","Statistik II_3","Prof. Dr. rer. nat. Susanne Hannappel","SoSe26"
"475","BA-Eco-M34-F01","Statistik I","Prof. Dr. Edin Basic","SoSe26"
"476","BA-Eco-M33-F01","Wirtschaftsmathematik","Gunda-Alexandra Detmers","SoSe26"
"477","BA-Eco-M17-F01","Behavioral Economics","Prof. Dr. Tim Lohse / Prof. Dr. Salmai Qari","SoSe26"
"478","BA-Eco-M13-F01","European Economic Policy","Dr. habil. Elke Muchlinski","SoSe26"
"479","BA-Eco-M10-F01","Theorie der Wirtschaftspolitik","Sarah Godar","SoSe26"
"480","BA-Eco-M08-F01","Angewandte Mikroökonomie","Prof. Dr. Tim Lohse","SoSe26"
"481","BA-Eco-M07-F01","National and International Financial Relations","Ayoze Alfageme","SoSe26"
"482","BA-Eco-M06-F01","Empirische Wirtschaftsforschung und Grundlagen der Ökonometrie 1","Prof. Dr. Salmai Qari","SoSe26"
"483","BA-Eco-M06-F01","Empirical Economic Research and Introductory Econometrics 2","Prof. Dr. Salmai Qari","SoSe26"
"484","BA-Eco-M04-F01","Mikroökonomie II","Dr. Enrico Böhme","SoSe26"
"485","BA-Eco-M01-F01","Einführung in das Volkswirtschaftsstudium","Prof. Dr. Tobias Börger","SoSe26"
"486","CAF-MM-F06","Welcome to the machine: KI-Tools für jeden Schritt im Marketing","Prof. Dr. Dirk-Mario Boltz","SoSe26"
"487","BA-BUS-M11-F01","Unternehmenssimulation und Teamentwicklung 1","Prof. Dr. rer. Christian Noss","SoSe26"
"488","BA-BUS-M11-F01","Unternehmenssimulation und Teamentwicklung 2","Prof. Dr. B. Peter Utzig / Prof. Dr. Frank Witte","SoSe26"
"489","BA-BUS-M11-F01","Unternehmenssimulation und Teamentwicklung 3","Prof. Dr. B. Peter Utzig / Prof. Dr. Frank Witte","SoSe26"
"490","BA-BUS-M11-F01","Unternehmenssimulation und Teamentwicklung 4","Prof. Dr. rer. Christian Noss / Prof. Dr. Martina Eberl","SoSe26"
"491","BA-BUS-M11-F01","Unternehmenssimulation und Teamentwicklung 5","Prof. Dr. Thomas Wolke","SoSe26"
"492","BA-BUS-M11-F01","Unternehmenssimulation und Teamentwicklung 6","Prof. Dr. rer. Christian Noss / Prof. Dr. Katrin Böttcher","SoSe26"
"493","BA-BUS-M11-F01","Unternehmenssimulation und Teamentwicklung 7","Prof. Dr. rer. Christian Noss","SoSe26"
"494","BA-BUS-M11-F01","Unternehmenssimulation und Teamentwicklung 8","Prof. Dr. rer. Sabine Haller / Prof. Dr. Tobias Braun","SoSe26"
"495","BUS-MSQ-F01","Selbstmanagement 1","Dietrich Wolbert","SoSe26"
"496","BUS-MSQ-F01","Selbstmanagement 2","Dietrich Wolbert","SoSe26"
"497","BUS-MSQ-F01","Selbstmanagement 3","Sandra Mihailovic","SoSe26"
"498","BUS-MSQ-F01","Selbstmanagement 4","Ina Brodersen","SoSe26"
"499","BUS-MSQ-F01","Self Management 5","Dr. Martina Heike Schubert / Dr. Gregor Wittke","SoSe26"
"500","BUS-MSQ-F02","Kommunikation und Präsentation 1","Siegrid Nordhausen","SoSe26"
"501","BUS-MSQ-F02","Kommunikation und Präsentation 2","Dr. Sabine Vollmert-Spiesky","SoSe26"
"502","BUS-MSQ-F02","Kommunikation und Präsentation 3 Blended","Aleksandra Skoric","SoSe26"
"503","BUS-MSQ-F04","Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel) 1","Prof. Dr. Monika Huesmann","SoSe26"
"504","BUS-MSQ-F04","Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel) 2","Prof. Dr. Thomas Wolke","SoSe26"
"505","BUS-MSQ-F04","Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel) 3 Blended","Prof. Dr. Axel Zernack","SoSe26"
"506","BUS-MSQ-F03","Agiles Projektmanagement 1","Julia Puki","SoSe26"
"507","BUS-MSQ-F03","Agiles Projektmanagement 2","Annette Schalla","SoSe26"
"508","BUS-MSQ-F03","Agiles Projektmanagement 3","Stefan Grave","SoSe26"
"509","BUS-MSQ-F03","Agiles Projektmanagement 4 Blended","Stefan Grave","SoSe26"
"510","BUS-MSQ-F05","Gesprächsführung 1","Jacqueline Grassmé-Grave / Stefan Grave","SoSe26"
"511","BUS-MSQ-F05","Gesprächsführung 2","Ulrike Kiewitt","SoSe26"
"512","BUS-MSQ-F05","Gesprächsführung 3","Dr. Sabine Vollmert-Spiesky","SoSe26"
"513","BUS-MSQ-F06","Interkulturelle Kompetenz 1","Tanja Nettelnstroth","SoSe26"
"514","BUS-MSQ-F06","Intercultural Competence 2","Saskia Vellguth","SoSe26"
"515","BUS-MSQ-F06","Interkulturelle Kompetenz 3 Blended","Dr. Martina Heike Schubert / Dr. Gregor Wittke","SoSe26"
"516","BUS-MSQ-F07","Improve-Präsentationstraining/ Improvisationstheater 1","Angeline Heilfort","SoSe26"
"517","BUS-MSQ-F08","Design Thinking 1","Sarah Ben Bernou","SoSe26"
"518","BUS-MSQ-F08","Design Thinking 2","Michael Metzger","SoSe26"
"519","BUS-MSQ-F08","Design Thinking 3","Kerstin Buschbeck","SoSe26"
"520","BUS-MSQ-F09","Grundlagen der Digitalisierung 1","Prof. Dr. Katrin Böttcher","SoSe26"
"521","BUS-MSQ-F09","Grundlagen der Digitalisierung 2","Marian Felkel","SoSe26"
"522","BUS-MSQ-F09","Grundlagen der Digitalisierung 3","Marian Felkel","SoSe26"
"523","BUS-MSQ-F10","Visual Thinking for Business 1","Philip McClenaghan","SoSe26"
"524","BUS-MSQ-F10","Visual Thinking for Business 2","Philip McClenaghan","SoSe26"
"525","BUS-MSQ-F11","International Project Management 1","Sakib Mehanovic","SoSe26"
"526","BUS-MSQ-F11","International Project Management 2 Blended","Sakib Mehanovic","SoSe26"
"527","BUS-MSQ-F12","Generative AI 1","Tore Reimers","SoSe26"
"528","BUS-MSQ-F12","Generative AI 2","Dr. rer. pol. Paul Walter","SoSe26"
"529","BUS-MSQ-F12","Generative AI 3","Jonas Eberlein","SoSe26"
"530","BUS-MSQ-F12","Generative AI 4","Christian Klang","SoSe26"
"531","BUS-M39-F01","Praxisseminar 8","Prof. Dr. Jochen Breinlinger-O'Reilly","SoSe26"
"532","CAF-MBS-F02","Ausgewählte Fragen der Unternehmensbesteuerung","Prof. Dr. Wojciech Stiller","SoSe26"
"533","BA-Eco-M14-F01","Märkte, Wettbewerb und Regulierung","Prof. Dr. Andreas Polk","SoSe26"
"534","BA-BUS-MSQ-F07","Improve-Präsentationstraining/ Improvisationstheater","Angeline Heilfort","SoSe26"
"535","BUS-MSQ-F01","Selbstmanagement 6 Blended","Mona Katzenberger","SoSe26"
"536","BUS-MSQ-F12","Generative AI 5 Blended","Tore Reimers","SoSe26"
"537","IBMAN-MI-F13","Management Issues: Project Management","Andreas Imthurn","SoSe26"
"538","IBMAN-MI-F09","Management Issues: Entrepreneurship","Prof. Dr. rer. Sven Ripsas","SoSe26"
"539","MPE-M01-F23","Strategic Responsible Transformation","Prof. Dr. Matthias Tomenendal","SoSe26"
"540","BA-BUS-M27-F01","Wirtschaftsmathematik 7 - Nachzügler","","SoSe26"
"541","CAF-MSCOM-F08","Nachhaltige Planung und Optimierung logistischer Systeme im Supply Chain Management","Prof. Dr. Marc Rothländer","SoSe26"
"542","BUS-M12-F01","Seminar 10 - KI, Automatisierung, Plattformökonomie","Jonny Bix Bongers","SoSe26"
"543","BUS-M10-F01","Operations Management 4 (Englisch)","Martin Bodo Pruy","SoSe26"
"544","BA-BUS-M08-F01","Instrumente des Controllings 8","Martin Bodo Pruy","SoSe26"
"545","BUS-M12-F01","Seminar 11 - Empirische Finanzmarktforschung","Dr. Stefan Paulus","SoSe26"
"546","BA-ISUM-M11-F01","Sustainable Operations Management II","Prof. Dr. Eberhard Schmid","SoSe26"
"547","BA-ISUM-M14-F01","Integrated Sustainability Reporting","Prof. Dr. Annett Baumast","SoSe26"
"548","BA-ISUM-M17-F01","Statistics & Applications in Data Science","Prof. Dr. Maria Osipenko / Fanqi Meng","SoSe26"
"549","BA-ISUM-M22-F01","Entrepreneurial Project III","Prof. Dr. Barbara Beham / Prof. Dr. rer. Sven Ripsas / Sylvia Krepska","SoSe26"
"550","BA-ISUM-M24-F01","Storytelling for Business & Business Ethics","Prof. Dr. Katja Andresen / Jonny Bix Bongers","SoSe26"
"551","BA-ISUM-M09-F01","Sustainability Marketing","Julia Hüller","SoSe26"
"552","BA-ISUM-M23-F01","Academic Writing & Managing Complexity 1","Martin Castro / Prof. Dr. Tobias Braun","SoSe26"
"553","BA-ISUM-M21-F04","Entrepreneurial Project II","Dr. Yana Heussen / Maximilian Mauracher","SoSe26"
"554","BA-ISUM-M23-F01","Academic Writing & Managing Complexity 2","Dr. Katharina Maak-Castro / Prof. Dr. Tobias Braun","SoSe26"
"555","WiRecht-M39-F02","English for Business Law: Common Law Cases","Prof. Dr. Torsten Straub","SoSe26"
"556","WiRecht-M39-F01","English for Business Law: English Legal System","Prof. Dr. Torsten Straub","SoSe26"
"557","WiRecht-M09-F01","Vertiefung Zivilrecht","Prof. Dr. Sebastian Schunke","SoSe26"
"558","WiRecht-M41-F01","Praxisseminar","Prof. Dr. Sebastian Schunke","SoSe26"
"559","WiRecht-M06-F02","Recht im Unternehmen (Gesellschaftsrecht I)","Julia Preußer","SoSe26"
"560","WiRecht-M06-F01","Recht im Unternehmen (Arbeitsrecht I)","Prof. Dr. Reingard Zimmer","SoSe26"
"561","WiRecht-M04-F01","Zivilrecht III","Prof. Dr. Sebastian Schunke","SoSe26"
"562","WiRecht-M05-F01","Zivilrecht IV","Prof. Dr. Arnold Lehmann-Richter","SoSe26"
"563","WiRecht-M12-F01","Wirtschaftsstrafrecht","Alexander Sättele","SoSe26"
"564","WiRecht-M23-F01","Bank- und Kreditsicherungsrecht","Prof. Dr. Julia Klauer","SoSe26"
"565","WiRecht-M08-F01","Gesellschaftsrecht II","Julia Preußer","SoSe26"
"566","WiRecht-M21-F01","Europäisches Wirtschaftsrecht","Prof. Dr. Torsten Straub","SoSe26"
"567","WiRecht-M07-F01","Arbeitsrecht II","Prof. Dr. Stefanie Lorenzen","SoSe26"
"568","WiRecht-M24-F01","Praktische Anwendungen des Wirtschaftsrechts","Prof. Dr. Torsten Straub","SoSe26"
"569","WiRecht-M03-F01","Zivilrecht II","Prof. Dr. Arnold Lehmann-Richter","SoSe26"
"570","WiRecht-M35-F01","Statistik","Dr. Michael Schlegel","SoSe26"
"571","WiRecht-M11-F02","Öffentliches Wirtschaftsrecht","Prof. Dr. Johannes Schäffer / Nina Tippmann","SoSe26"
"572","WiRecht-M01-F01","Einführung in das Studium","Prof. Dr. Sebastian Schunke","SoSe26"
"573","WiRecht-M34-F01","Volkswirtschaftliche Rahmenbedingungen","Dr. Sylvi Rzepka","SoSe26"
"574","WiRecht-M02-F01","Zivilrecht I","Julia Preußer","SoSe26"
"575","BA-WiIng-M32-F01","Projektmanagement und Fallstudien","Frank Hinrichs / Charlotte Ritter","SoSe26"
"576","BA-WiIng-M33-F01","Unternehmenssimulation mit Teamentwicklung und Supervision 1","Prof. Dr. rer. Christian Noss / Susanne Schubert","SoSe26"
"577","BA-WiIng-M34-F01","Strategische Finanzplanung und Bewertung","Prof. Dr. Frank Witte","SoSe26"
"578","BA-WiIng-M36-F01","Nachhaltiges Operations Management II","Prof. Dr. Eberhard Schmid","SoSe26"
"579","BA-WiIng-M37-F01","Analyse unternehmerischer Nachhaltigkeit","Prof. Dr. Annett Baumast","SoSe26"
"580","BA-WiIng-M21-F01","Statistik","Dr. Hartmut Bauer","SoSe26"
"581","BA-WiIng-M22-F01","Investition und Finanzierung","Prof. Dr. Axel Hellmann","SoSe26"
"582","BA-WiIng-M07-F02","Business English II","Sandra Baker","SoSe26"
"583","BA-WiIng-M07-F03","Business English III","Sandra Baker","SoSe26"
"584","BA-WiIng-M08-F01","Einführung in die Umweltökonomie und nachhaltige Entwicklung","Gerrit von Jorck","SoSe26"
"585","BA-WiIng-M09-F01","Marketing","Prof. Dr. rer. Harald Rüggeberg","SoSe26"
"586","BA-WiIng-M33-F01","Unternehmenssimulation mit Teamentwicklung und Supervision 2","Robert Dabitz / Sandra Fanroth","SoSe26"
