"Kurs-ID","Modulnummer","Kursname","Dozierende","Semester"
"268","FACT-M08-F02","Besteuerung grenzüberschreitender Transaktionen","Prof. Dr. Wojciech Stiller","SoSe26"
"269","FACT-M23-F01","Forschungsmethodisches Seminar","Prof. Dr. Agnes Aschfalk-Evertz / Prof. Dr. Wojciech Stiller","SoSe26"
"270","BIPM-M11-F01","Research Seminar","Prof. Dr. Alexander Eck","SoSe26"
"271","BA-ISUM-M11-F01...","Sustainable Operations Management II","Prof. Dr. Eberhard Schmid","SoSe26"
"272","BA-ISUM-M14-F01...","Integrated Sustainability Reporting","Prof. Dr. Annett Baumast","SoSe26"
"273","BA-ISUM-M17-F01...","Statistics & Applications in Data Science","Prof. Dr. Maria Osipenko / Fanqi Meng","SoSe26"
"274","BA-ISUM-M22-F01...","Entrepreneurial Project III","Prof. Dr. Barbara Beham / Prof. Dr. rer. Sven Ripsas / Sylvia Krepska","SoSe26"
"275","BA-ISUM-M24-F01...","Storytelling for Business & Business Ethics","Prof. Dr. Katja Andresen / Jonny Bix Bongers","SoSe26"
"276","BA-ISUM-M09-F01...","Sustainability Marketing","Julia Hüller","SoSe26"
"277","BA-ISUM-M23-F01...","Academic Writing & Managing Complexity 1","Martin Castro / Prof. Dr. Tobias Braun","SoSe26"
"278","BA-ISUM-M21-F04...","Entrepreneurial Project II","Dr. Yana Heussen / Maximilian Mauracher","SoSe26"
"279","BA-ISUM-M23-F01...","Academic Writing & Managing Complexity 2","Dr. Katharina Maak-Castro / Prof. Dr. Tobias Braun","SoSe26"
"280","BA-IDB-M09-F01","Digital Performance Management","Prof. Dr. Michael Faustino Bauer","SoSe26"
"281","BA-IDB-M14-F01","Digital Literacy IV: Software Architectures","Pallabi Mukherjee","SoSe26"
"282","BA-IDB-M17-F01","Statistics & Applications in Data Science","Prof. Dr. Maria Osipenko / Fanqi Meng","SoSe26"
"283","BA-IDB-M22-F01","Entrepreneurial Project III","Prof. Dr. Christoph Dörrenbächer / Rafael Kugel / Samir Roshandel","SoSe26"
"284","BA-IDB-M24-F01","Storytelling for Business & Business and Data Ethics","Prof. Dr. Katja Andresen / Jonny Bix Bongers","SoSe26"
