Angebotsnummer,Bezeichnung,Credits,Prüfungsvorlage,Veranstaltungstyp,Dozierende,Sprache
BUS-M04-F01,Marketing - Marketing 2,5,Klausur,seminaristischer Unterricht,Saskia Kramer,Deutsch
BUS-M04-F01,Marketing - Marketing 3 Blended,5,Klausur,seminaristischer Unterricht,Marvin Vogt,Deutsch
BUS-M04-F01,Marketing - Marketing 4 (Englisch),5,Klausur,seminaristischer Unterricht,Dr. Stefanie Dänzler,Englisch
BUS-M04-F01,Marketing - Marketing 5 (Englisch),5,Klausur,seminaristischer Unterricht,Dr. rer. pol. Philip Meier,Englisch
BA-BUS-M05-F01,Externes Rechnungswesen - Externes Rechnungswesen 1,5,Klausur,seminaristischer Unterricht,Prof. Dr. Nadja Jehle,Deutsch
BA-BUS-M05-F01,Externes Rechnungswesen - Externes Rechnungswesen 2,5,Klausur,seminaristischer Unterricht,Rifat Idris-Barni,Deutsch
BA-BUS-M05-F01,Externes Rechnungswesen - Externes Rechnungswesen 3,5,Klausur,seminaristischer Unterricht,Olaf-Erwin Jupitz,Deutsch
BA-BUS-M05-F01,Externes Rechnungswesen - Externes Rechnungswesen 4 Blended,5,Klausur,seminaristischer Unterricht,Prof. Dr. Hans Lieck,Deutsch
BA-BUS-M05-F01,Externes Rechnungswesen - Externes Rechnungswesen 5 Kurs für Wiederholende,5,Klausur,seminaristischer Unterricht,Prof. Dr. Hans Lieck,Deutsch
BUS-M05-F01,Grundlagen des externen Rechnungswesens - Grundlagen des externen Rechnungswesens 1,5,Klausur,seminaristischer Unterricht,Olaf-Erwin Jupitz,Deutsch
BUS-M05-F01,Grundlagen des externen Rechnungswesens - Grundlagen des externen Rechnungswesens 2,5,Klausur,seminaristischer Unterricht,Jörg Leu,Deutsch
BUS-M05-F01,Grundlagen des externen Rechnungswesens - Grundlagen des externen Rechnungswesens 3,5,Klausur,seminaristischer Unterricht,Prof. Dr. Nadja Jehle,Deutsch
BUS-M05-F01,Grundlagen des externen Rechnungswesens - Grundlagen des externen Rechnungswesens 4 - Kurs für Wiederholer,5,Klausur,seminaristischer Unterricht,Prof. Dr. Hans Lieck,Deutsch
BA-BUS-M06-F01,Internes Rechnungswesen - Internes Rechnungswesen 1,5,Klausur,seminaristischer Unterricht,Prof. Dr. Frank Witte,Deutsch
BA-BUS-M06-F01,Internes Rechnungswesen - Internes Rechnungswesen 2,5,Klausur,seminaristischer Unterricht,Prof. Dr. Frank Witte,Deutsch
BA-BUS-M06-F01,Internes Rechnungswesen - Internes Rechnungswesen 3,5,Klausur,seminaristischer Unterricht,Heike Wolf,Deutsch
BA-BUS-M06-F01,Internes Rechnungswesen - Internes Rechnungswesen 4,5,Klausur,seminaristischer Unterricht,Frederik Kupitz,Deutsch
BA-BUS-M06-F01,Internes Rechnungswesen - Internes Rechnungswesen 5,5,Klausur,seminaristischer Unterricht,Prof. Dr. Axel Zernack,Deutsch
BA-BUS-M06-F01,Internes Rechnungswesen - Internes Rechnungswesen 6,5,Klausur,seminaristischer Unterricht,Kenan Arkan,Deutsch
BA-BUS-M06-F01,Internes Rechnungswesen - Internes Rechnungswesen 7,5,Klausur,seminaristischer Unterricht,Kenan Arkan,Deutsch
BA-BUS-M06-F01,Internes Rechnungswesen - Internes Rechnungswesen 8 Blended,5,Klausur,seminaristischer Unterricht,Prof. Dr. B. Peter Utzig,Deutsch
BA-BUS-M06-F01,Internes Rechnungswesen - Internes Rechnungswesen 9 - Kurs für Wiederholer,5,Klausur,seminaristischer Unterricht,Prof. Dr. Ulf Diefenbach,Deutsch
BUS-M06-F01,Grundlagen des internen Rechnungswesens/Controllings - Grundlagen des internen Rechnungswesens/Controllings 1,5,Klausur,seminaristischer Unterricht,Prof. Dr. Ulf Diefenbach,Deutsch
BUS-M06-F01,Grundlagen des internen Rechnungswesens/Controllings - Grundlagen des internen Rechnungswesens/Controllings 2,5,Klausur,seminaristischer Unterricht,Thomas Neumann,Deutsch
BUS-M06-F01,Grundlagen des internen Rechnungswesens/Controllings - Grundlagen des internen Rechnungswesens/Controllings 3,5,Klausur,seminaristischer Unterricht,Matthias Schubert,Deutsch
BUS-M06-F01,Grundlagen des internen Rechnungswesens/Controllings - Grundlagen des internen Rechnungswesens/Controllings 4 Blended,5,Klausur,seminaristischer Unterricht,Prof. Dr. B. Peter Utzig,Deutsch
BUS-M06-F01,Grundlagen des internen Rechnungswesens/Controllings - Grundlagen des internen Rechnungswesens/Controllings 5 Abend,5,Klausur,seminaristischer Unterricht,Anne Schlachter,Deutsch
BUS-M06-F01,Grundlagen des internen Rechnungswesens/Controllings - Grundlagen des internen Rechnungswesens/Controllings 6 - Kurs für Wiederholer,5,Klausur,seminaristischer Unterricht,Prof. Dr. Ulf Diefenbach,Deutsch
BA-BUS-M07-F01,Unternehmensbesteuerung - Unternehmensbesteuerung 1,5,Klausur,seminaristischer Unterricht,Mirco Schoening,Deutsch
BA-BUS-M07-F01,Unternehmensbesteuerung - Unternehmensbesteuerung 2,5,Klausur,seminaristischer Unterricht,Prof. Dr. phil. Achim Grawert,Deutsch
BA-BUS-M07-F01,Unternehmensbesteuerung - Unternehmensbesteuerung 3,5,Klausur,seminaristischer Unterricht,Daniela Wiesner,Deutsch
BA-BUS-M07-F01,Unternehmensbesteuerung - Unternehmensbesteuerung 4,5,Klausur,seminaristischer Unterricht,Dr. jur. Daniel Rüscher,Deutsch
BUS-M07-F01,Grundlagen der Unternehmensbesteuerung - Grundlagen der Unternehmensbesteuerung 1,5,Klausur,seminaristischer Unterricht,Dr. Johannes Martens,Deutsch
BUS-M07-F01,Grundlagen der Unternehmensbesteuerung - Grundlagen der Unternehmensbesteuerung 2,5,Klausur,seminaristischer Unterricht,Peter Zeitschel,Deutsch
BUS-M07-F01,Grundlagen der Unternehmensbesteuerung - Grundlagen der Unternehmensbesteuerung 3 Blended,5,Klausur,seminaristischer Unterricht,Daniela Wiesner,Deutsch
BUS-M07-F01,Grundlagen der Unternehmensbesteuerung - Grundlagen der Unternehmensbesteuerung 4 Abend,5,Klausur,seminaristischer Unterricht,Peter Zeitschel,Deutsch
BA-BUS-M08-F01,Instrumente des Controllings - Instrumente des Controllings 1,5,Klausur,seminaristischer Unterricht,Prof. Dr. Ulf Diefenbach,Deutsch
BA-BUS-M08-F01,Instrumente des Controllings - Instrumente des Controllings 2,5,Klausur,seminaristischer Unterricht,Andre Eggert,Deutsch
BA-BUS-M08-F01,Instrumente des Controllings - Instrumente des Controllings 3,5,Klausur,seminaristischer Unterricht,Prof. Dr. Axel Zernack,Deutsch
BA-BUS-M08-F01,Instrumente des Controllings - Instrumente des Controllings 4,5,Klausur,seminaristischer Unterricht,Mario Karp,Deutsch
BA-BUS-M08-F01,Instrumente des Controllings - Instrumente des Controllings 5,5,Klausur,seminaristischer Unterricht,Jörg Leu,Deutsch
BA-BUS-M08-F01,Instrumente des Controllings - Instrumente des Controllings 6,5,Klausur,seminaristischer Unterricht,Peter Merz,Deutsch
BA-BUS-M08-F01,Instrumente des Controllings - Management Accounting and Controlling 7,5,Klausur,seminaristischer Unterricht,Prof. Dr. Michael Faustino Bauer,Deutsch
BUS-M08-F01,Instrumente des Controllings - Instrumente des Controllings 1,5,Klausur,seminaristischer Unterricht,Prof. Dr. Ulf Diefenbach,Deutsch
BUS-M08-F01,Instrumente des Controllings - Instrumente des Controllings 2 Blended,5,Klausur,seminaristischer Unterricht,Prof. Dr. Solveig Reißig-Thust,Deutsch
BUS-M08-F01,Instrumente des Controllings - Instrumente des Controllings 3 Abend,5,Klausur,seminaristischer Unterricht,Dr. Christian Schneider,Deutsch
BA-BUS-M09-F01,Strategisches Management - Strategisches Management 1,5,Mündliche Prüfung (P),seminaristischer Unterricht,Dr. Jessica Di Bella,Deutsch
BA-BUS-M09-F01,Strategisches Management - Strategisches Management 2,5,Mündliche Prüfung (P),seminaristischer Unterricht,Dr. Khalil Dindarian,Deutsch
BA-BUS-M09-F01,Strategisches Management - Strategisches Management 3,5,Mündliche Prüfung (P),seminaristischer Unterricht,Dr. Marco de Queiroz Gama,Deutsch
BA-BUS-M09-F01,Strategisches Management - Strategisches Management 4,5,Mündliche Prüfung (P),seminaristischer Unterricht,Dr. Khalil Dindarian,Deutsch
BA-BUS-M09-F01,Strategisches Management - Strategisches Management 5,5,Mündliche Prüfung (P),seminaristischer Unterricht,Dr. Manuela E. Nork-Schürger,Deutsch
BA-BUS-M09-F01,Strategisches Management - Strategic Management 6,5,Mündliche Prüfung (P),seminaristischer Unterricht,Prof. Dr. Caroline V. Rudzinska,Deutsch
BA-BUS-M09-F01,Strategisches Management - Strategic Management 7,5,Mündliche Prüfung (P),seminaristischer Unterricht,Ertan Gönülal,Deutsch
BUS-M09-F01,Strategisches Management - Strategisches Management 1,5,Mündliche Prüfung (P),seminaristischer Unterricht,Dr. Marco de Queiroz Gama / Ulrich Stirn,Deutsch
BUS-M09-F01,Strategisches Management - Strategisches Management 2,5,Mündliche Prüfung (P),seminaristischer Unterricht,Prof. Dr. Jochen Breinlinger-O'Reilly / Jörg Nielandt,Deutsch
BUS-M09-F01,Strategisches Management - Strategisches Management 3 Blended,5,Mündliche Prüfung (P),seminaristischer Unterricht,Dr. Sebastian Block / Dr. Wolfgang Marfels,Deutsch
BUS-M09-F01,Strategisches Management - Strategic Management 4,5,Mündliche Prüfung (P),seminaristischer Unterricht,Dr. Giorgi Shuradze,Deutsch
BA-BUS-M10-F01,Operations Management - Operations Management 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Marc Rothländer,Deutsch
BA-BUS-M10-F01,Operations Management - Operations Management 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Harald Pflughaupt,Deutsch
BA-BUS-M10-F01,Operations Management - Operations Management 3 (Englisch),5,Kombinierte Prüfung,seminaristischer Unterricht,John C. Davis,Englisch
BA-BUS-M10-F01,Operations Management - Operations Management 4 (Englisch),5,Kombinierte Prüfung,seminaristischer Unterricht,Martin Bodo Pruy,Englisch
BUS-M10-F01,Operations Management - Operations Management 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Thomas Seidl,Deutsch
BUS-M10-F01,Operations Management - Operations Management 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Eberhard Schmid,Deutsch
BUS-M10-F01,Operations Management - Operations Management 3 Blended,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Christoph Manuel Meyer,Deutsch
BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 1,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. Martina Eberl / Robert Dabitz,Deutsch
BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 2,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. rer. Harald Rüggeberg / Michael Siegert,Deutsch
BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 3,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. rer. Christian Noss / Prof. Dr. Katrin Böttcher,Deutsch
BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 4,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. B. Peter Utzig / Prof. Dr. Frank Witte,Deutsch
BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 5,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. Martina Eberl / Robert Dabitz,Deutsch
BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 6,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. rer. Harald Rüggeberg / Michael Siegert,Deutsch
BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 7,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. Thomas Wolke,Deutsch
BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 8,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. Frank Witte / Prof. Dr. Madeleine Janke,Deutsch
BUS-M12-F01,Wirtschaftswissenschaftliches Seminar - Seminar 1 - KI & Marke(ting): Wie verändert KI die Arbeitswelt im Markenmanagement und im Marketing?,5,Hausarbeit,seminaristischer Unterricht,Prof. Dr. Carsten Baumgarth,Deutsch
BUS-M12-F01,Wirtschaftswissenschaftliches Seminar - Seminar 2 - Strategisches Management & Nachhaltigkeit,5,Hausarbeit,seminaristischer Unterricht,Prof. Dr. Caroline V. Rudzinska,Deutsch
BUS-M12-F01,Wirtschaftswissenschaftliches Seminar - Seminar 3 - Marketing,5,Hausarbeit,seminaristischer Unterricht,Prof. Dr. rer. Pakize Schuchert-Güler,Deutsch
BUS-M12-F01,Wirtschaftswissenschaftliches Seminar - Seminar 4 - Entrepreneurship,5,Hausarbeit,seminaristischer Unterricht,Prof. Dr. Birgit Felden,Deutsch
BUS-M12-F01,Wirtschaftswissenschaftliches Seminar - Seminar 5 - Empirische Finanzmarktforschung,5,Hausarbeit,seminaristischer Unterricht,Dr. Stefan Paulus,Deutsch
BUS-M12-F01,Wirtschaftswissenschaftliches Seminar - Seminar 6 - Nachhaltigkeit (Selbstlernkurs),5,Hausarbeit,seminaristischer Unterricht,Prof. Dr. Birgit Felden,Deutsch
BUS-M12-F01,Wirtschaftswissenschaftliches Seminar - Seminar 7 - HR/Arbeitspsychologie,5,Hausarbeit,seminaristischer Unterricht,Prof. Dr. Barbara Beham,Deutsch
BUS-M12-F01,Wirtschaftswissenschaftliches Seminar - Seminar 8 - Ausgewählte Fragen der Wirtschaftspolitik,5,Hausarbeit,seminaristischer Unterricht,Prof. Dr. Andreas Polk,Deutsch
BUS-M12-F01,Wirtschaftswissenschaftliches Seminar - Seminar 9 - Academic Writing,5,Hausarbeit,seminaristischer Unterricht,Luis Ignacio Silva Neira,Deutsch
BUS-M19-F01,Interdisziplinäres Themenfeld - Themenfeld 1 - Mitbestimmug und Flexibilisierung von Arbeit,10,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Christina Teipen / Prof. Dr. Monika Huesmann / Prof. Dr. Stefanie Lorenzen,Deutsch
BUS-M19-F01,Interdisziplinäres Themenfeld - Themenfeld 2 - Behavioural Finance und Financial Literacy in der privaten Finanzplanung,10,Kombinierte Prüfung,seminaristischer Unterricht,Natalie Packham / Dr. Stefan Paulus / Marie Schumann,Deutsch
BUS-M19-F01,"Interdisziplinäres Themenfeld - Themenfeld 3 - Internationalization of economic processes - Goals, Actors and Instruments of Regulation",10,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Christoph Dörrenbächer / Dr. Giorgos Christonakis / Dr. Michael Wortmann,Deutsch
BA-BUS-M20-F01,Mikroökonomie - Mikroökonomie 1,5,Klausur,seminaristischer Unterricht,Leonard Bovenberg,Deutsch
BA-BUS-M20-F01,Mikroökonomie - Mikroökonomie 2,5,Klausur,seminaristischer Unterricht,Esther Baumann-Kubick,Deutsch
BA-BUS-M20-F01,Mikroökonomie - Mikroökonomie 3,5,Klausur,seminaristischer Unterricht,Richard Mertens,Deutsch
BA-BUS-M20-F01,Mikroökonomie - Mikroökonomie 4 - Kurs für Wiederholende,5,Klausur,seminaristischer Unterricht,Esther Baumann-Kubick,Deutsch
BUS-M20-F01,Mikroökonomie: Allokation und Verteilung - Mikroökonomie: Allokation und Verteilung 1,5,Klausur,seminaristischer Unterricht,Prof. Dr. Tobias Börger,Deutsch
BUS-M20-F01,Mikroökonomie: Allokation und Verteilung - Mikroökonomie: Allokation und Verteilung 2 - Kurs für Wiederholende,5,Klausur,seminaristischer Unterricht,Esther Baumann-Kubick,Deutsch
BUS-M20-F01,Mikroökonomie: Allokation und Verteilung - Microeconomics: Allocation and Distribution 3,5,Klausur,seminaristischer Unterricht,Prof. Dr. Jennifer Pédussel Wu,Deutsch
BA-BUS-M21-F01,Makroökonomie - Makroökonomie 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Alexander Voegele,Deutsch
BA-BUS-M21-F01,Makroökonomie - Makroökonomie 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Sascha Gander,Deutsch
BA-BUS-M21-F01,Makroökonomie - Makroökonomie 3,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. habil. Aydin Findikçi,Deutsch
BA-BUS-M21-F01,Makroökonomie - Makroökonomie 4,5,Kombinierte Prüfung,seminaristischer Unterricht,Robert Thomas Merk,Deutsch
BA-BUS-M21-F01,Makroökonomie - Makroökonomie 5,5,Kombinierte Prüfung,seminaristischer Unterricht,Robert Thomas Merk,Deutsch
BA-BUS-M21-F01,Makroökonomie - Makroökonomie 6,5,Kombinierte Prüfung,seminaristischer Unterricht,Thomas Neumann,Deutsch
BA-BUS-M21-F01,Makroökonomie - Macroeconomics 7,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Till Strohsal,Deutsch
BUS-M21-F01,Makroökonomie: Konjunktur und Beschäftigung - Makroökonomie: Konjunktur und Beschäftigung 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Till Strohsal,Deutsch
BUS-M21-F01,Makroökonomie: Konjunktur und Beschäftigung - Makroökonomie: Konjunktur und Beschäftigung 2 Abend,5,Kombinierte Prüfung,seminaristischer Unterricht,Sascha Gander,Deutsch
BUS-M21-F01,Makroökonomie: Konjunktur und Beschäftigung - Macroeconomics: The Economic Cycle and Employment 3,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. rer. pol. Georg Man,Deutsch
BUS-M22-F01,Internationale Wirtschaft - Internationale Wirtschaft 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Günter Senftleben,Deutsch
BUS-M22-F01,Internationale Wirtschaft - Internationale Wirtschaft 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. habil. Aydin Findikçi,Deutsch
BUS-M22-F01,Internationale Wirtschaft - Internationale Wirtschaft 3,5,Kombinierte Prüfung,seminaristischer Unterricht,Norbert Földi,Deutsch
BUS-M22-F01,Internationale Wirtschaft - International Economics 4,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. habil. Elke Muchlinski / Prof. Dr. Jennifer Pédussel Wu,Deutsch
BA-BUS-M23-F01,Recht 1 - Recht 1 _ 1,5,Klausur,seminaristischer Unterricht,Oliver Loock-Wagner,Deutsch
BA-BUS-M23-F01,Recht 1 - Recht 1 _ 2,5,Klausur,seminaristischer Unterricht,Prof. Dr. Arnold Lehmann-Richter,Deutsch
BA-BUS-M23-F01,Recht 1 - Recht 1 _ 3,5,Klausur,seminaristischer Unterricht,Prof. Dr. Julia Klauer,Deutsch
BUS-M23-F01,Privates Wirtschaftsrecht - Privates Wirtschaftsrecht 1,5,Klausur,seminaristischer Unterricht,Julia Preußer,Deutsch
BUS-M23-F01,Privates Wirtschaftsrecht - Privates Wirtschaftsrecht 2,5,Klausur,seminaristischer Unterricht,Nicolai Preuße,Deutsch
BUS-M23-F01,Privates Wirtschaftsrecht - Privates Wirtschaftsrecht 3 Blended,5,Klausur,seminaristischer Unterricht,Dr. Bernhard Dietrich,Deutsch
BUS-M24-F01,Recht im Unternehmen (Gesellschaftsrecht) - Recht im Unternehmen (Gesellschaftsrecht) 1,2.5,Klausur,seminaristischer Unterricht,Prof. Dr. Andreas Donner,Deutsch
BUS-M24-F01,Recht im Unternehmen (Gesellschaftsrecht) - Recht im Unternehmen (Gesellschaftsrecht) 2 Blended,2.5,Klausur,seminaristischer Unterricht,Dr. jur. Anja Herzberg,Deutsch
BUS-M24-F01,Recht im Unternehmen (Gesellschaftsrecht) - Recht im Unternehmen (Gesellschaftsrecht) 3 Abend,2.5,Klausur,seminaristischer Unterricht,Denise Bruse,Deutsch
BUS-M24-F02,Recht im Unternehmen (Arbeitsrecht) - Recht im Unternehmen (Arbeitsrecht) 1,2.5,Klausur,seminaristischer Unterricht,Prof. Dr. Andreas Donner,Deutsch
BUS-M24-F02,Recht im Unternehmen (Arbeitsrecht) - Recht im Unternehmen (Arbeitsrecht) 2 Abend,2.5,Klausur,seminaristischer Unterricht,Helga Nielebock,Deutsch
BUS-M24-F02,Recht im Unternehmen (Arbeitsrecht) - Recht im Unternehmen (Arbeitsrecht) 3 Abend,2.5,Klausur,seminaristischer Unterricht,Christian Groth,Deutsch
BA-BUS-M25-F01,Nachhaltige Transformation von Unternehmen und Gesellschaft - Nachhaltige Transformation von Unternehmen und Gesellschaft 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Markus Wissen,Deutsch
BA-BUS-M25-F01,Nachhaltige Transformation von Unternehmen und Gesellschaft - Nachhaltige Transformation von Unternehmen und Gesellschaft 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Lukas Meisner,Deutsch
BA-BUS-M25-F01,Nachhaltige Transformation von Unternehmen und Gesellschaft - Sustainable Transformation of Business and Society 3,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Christina Teipen,Deutsch
BA-BUS-M25-F01,Nachhaltige Transformation von Unternehmen und Gesellschaft - Sustainable Transformation of Business and Society 4,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Markus Wissen,Deutsch
BUS-M25-F01,"Unternehmen, Betrieb, Arbeit",5,Kombinierte Prüfung,seminaristischer Unterricht,Detlef Fester,Deutsch
BUS-M26-F01,Politische Ökonomie und Sozialstruktur der modernen Gesellschaft - Politische Ökonomie und Sozialstruktur der modernen Gesellschaft 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Lukas Meisner,Deutsch
BUS-M26-F01,Politische Ökonomie und Sozialstruktur der modernen Gesellschaft - Politische Ökonomie und Sozialstruktur der modernen Gesellschaft 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Luis Sanz Jardon,Deutsch
BUS-M26-F01,Politische Ökonomie und Sozialstruktur der modernen Gesellschaft - Politische Ökonomie und Sozialstruktur der modernen Gesellschaft 3 Blended,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Sigrid Betzelt,Deutsch
BUS-M26-F01,Politische Ökonomie und Sozialstruktur der modernen Gesellschaft - Political Economy and Social Structure of Modern Society 4,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Martina Sproll,Deutsch
BA-BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 1,5,Klausur,seminaristischer Unterricht,Mirco Schoening,Deutsch
BA-BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 2,5,Klausur,seminaristischer Unterricht,Dr. Michael Schlegel,Deutsch
BA-BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 3,5,Klausur,seminaristischer Unterricht,Dr. Domenico Schneider,Deutsch
BA-BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 4,5,Klausur,seminaristischer Unterricht,Andreas Stotland,Deutsch
BA-BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 5 Blended,5,Klausur,seminaristischer Unterricht,Kai Klotz,Deutsch
BA-BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 6 - Ferienkurs Blended,5,Klausur,seminaristischer Unterricht,Prof. Dr. Maria Osipenko,Deutsch
AC-Mathe-BK,Wirtschaftsmathematischer Brückenkurs im Semester - Wirtschaftsmathematischer Brückenkurs im Semester 1,0,Keine Prüfung,Seminar,Mahkameh Komasi,Deutsch
AC-Mathe-BK,Wirtschaftsmathematischer Brückenkurs im Semester - Wirtschaftsmathematischer Brückenkurs im Semester 2,0,Keine Prüfung,Seminar,Martin Büttner,Deutsch
BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 1,5,Klausur,seminaristischer Unterricht,Mahkameh Komasi,Deutsch
BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 2 - Kurs für Wiederholende,5,Klausur,seminaristischer Unterricht,Prof. Dr. Ulrike C. Nikutta-Wasmuht,Deutsch
BA-BUS-M28-F01,Statistik - Statistik 1,5,Klausur,seminaristischer Unterricht,Christine Krüger,Deutsch
BA-BUS-M28-F01,Statistik - Statistik 2,5,Klausur,seminaristischer Unterricht,Prof. Dr. Edin Basic,Deutsch
BA-BUS-M28-F01,Statistik - Statistik 3,5,Klausur,seminaristischer Unterricht,Prof. Dr. Andreas Polk,Deutsch
BA-BUS-M28-F01,Statistik - Statistik 4,5,Klausur,seminaristischer Unterricht,Prof. Dr. rer. nat. Susanne Hannappel,Deutsch
BA-BUS-M28-F01,Statistik - Statistik 5,5,Klausur,seminaristischer Unterricht,Prof. Dr. Thomas Knispel,Deutsch
BA-BUS-M28-F01,Statistik - Statistik 6 Blended,5,Klausur,seminaristischer Unterricht,Ulrike Flemming,Deutsch
BUS-M28-F01,Statistik - Statistik 1 - Kurs für Wiederholende,5,Klausur,seminaristischer Unterricht,Prof. Dr. Andreas Polk,Deutsch
BUS-M28-F01,Statistik - Statistik 2 Abend,5,Klausur,seminaristischer Unterricht,Musa Tanriver,Deutsch
BA-BUS-M29-F01,Wirtschaftsinformatik 1 - Wirtschaftsinformatik 1 _ 1,5,Leistungstest,seminaristischer Unterricht,Dr. Salim Chujfi La Roche,Deutsch
BA-BUS-M29-F01,Wirtschaftsinformatik 1 - Wirtschaftsinformatik 1 _ 2,5,Leistungstest,seminaristischer Unterricht,Dr. Albrecht Heinrici,Deutsch
BA-BUS-M29-F01,Wirtschaftsinformatik 1 - Wirtschaftsinformatik 1 _ 3,5,Leistungstest,seminaristischer Unterricht,Dr. Salim Chujfi La Roche,Deutsch
BA-BUS-M29-F01,Wirtschaftsinformatik 1 - Wirtschaftsinformatik 1 _ 4 Blended,5,Leistungstest,seminaristischer Unterricht,Dr. Marie Glasemann,Deutsch
BUS-M29-F01,Grundlagen der Wirtschaftsinformatik - Grundlagen der Wirtschaftsinformatik Abend,5,Leistungstest (undifferenziert),seminaristischer Unterricht,Randy Witte,Deutsch
AC-Mathe-VK,Wirtschaftsmathematischer Vorkurs (Vor Semesterstart) - Wirtschaftsmathematischer Vorkurs (Vor Semesterstart) 1,0,Keine Prüfung,Seminar,Martin Büttner,Deutsch
AC-Mathe-VK,Wirtschaftsmathematischer Vorkurs (Vor Semesterstart) - Wirtschaftsmathematischer Vorkurs (Vor Semesterstart) 2,0,Keine Prüfung,Seminar,Frederik Freckmann,Deutsch
Spanisch-F02,Wirtschaftsspanisch A 2 - Wirtschaftsspanisch A 2 __1,5,Kombinierte Prüfung,Praktische Übung,Paula María Ulloa Martínez,Deutsch
Spanisch-F02,Wirtschaftsspanisch A 2 - Wirtschaftsspanisch A 2 __2,5,Kombinierte Prüfung,Praktische Übung,Carmen Perez Gauli,Deutsch
Spanisch-F03,Wirtschaftsspanisch B 1.1,5,Kombinierte Prüfung,Praktische Übung,Carmen Perez Gauli,Deutsch
Spanisch-F04,Wirtschaftsspanisch B 1.2,5,Kombinierte Prüfung,Praktische Übung,Priscila Munoz,Deutsch
Spanisch-F05,Wirtschaftsspanisch B 2.1,5,Kombinierte Prüfung,Praktische Übung,Carmen Gomez Aparicio,Deutsch
BA-BUS-M30-F01,Wirtschaftsinformatik 2 - Wirtschaftsinformatik 2 _ 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. rer. Heike Wiesner,Deutsch
BA-BUS-M30-F01,Wirtschaftsinformatik 2 - Wirtschaftsinformatik 2 _ 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Michael Sost,Deutsch
BA-BUS-M30-F01,Wirtschaftsinformatik 2 - Wirtschaftsinformatik 2 _ 3,5,Kombinierte Prüfung,seminaristischer Unterricht,Michael Sost,Deutsch
