Angebotsnummer,Bezeichnung,Credits,Prüfungsvorlage,Veranstaltungstyp,Dozierende,Sprache
BUS-MSQ-F04,Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel) - Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel) 2,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Thomas Wolke,Deutsch
BUS-MSQ-F04,Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel) - Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel) 3 Blended,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Axel Zernack,Deutsch
BUS-MSQ-F03,Agiles Projektmanagement - Agiles Projektmanagement 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Julia Puki,Deutsch
BUS-MSQ-F03,Agiles Projektmanagement - Agiles Projektmanagement 2,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Annette Schalla,Deutsch
BUS-MSQ-F03,Agiles Projektmanagement - Agiles Projektmanagement 3,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Stefan Grave,Deutsch
BUS-MSQ-F03,Agiles Projektmanagement - Agiles Projektmanagement 4 Blended,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Stefan Grave,Deutsch
BUS-MSQ-F05,Gesprächsführung - Gesprächsführung 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Jacqueline Grassmé-Grave / Stefan Grave,Deutsch
BUS-MSQ-F05,Gesprächsführung - Gesprächsführung 2,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Ulrike Kiewitt,Deutsch
BUS-MSQ-F05,Gesprächsführung - Gesprächsführung 3,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Dr. Sabine Vollmert-Spiesky,Deutsch
BUS-MSQ-F06,Interkulturelle Kompetenz - Interkulturelle Kompetenz 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Tanja Nettelnstroth,Deutsch
BUS-MSQ-F06,Interkulturelle Kompetenz - Intercultural Competence 2,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Saskia Vellguth,Deutsch
BUS-MSQ-F06,Interkulturelle Kompetenz - Interkulturelle Kompetenz 3 Blended,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Dr. Martina Heike Schubert / Dr. Gregor Wittke,Deutsch
BUS-MSQ-F07,Improve-Präsentationstraining/ Improvisationstheater - Improve-Präsentationstraining/ Improvisationstheater 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Angeline Heilfort,Deutsch
BUS-MSQ-F08,Design Thinking - Design Thinking 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Sarah Ben Bernou,Deutsch
BUS-MSQ-F08,Design Thinking - Design Thinking 2,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Michael Metzger,Deutsch
BUS-MSQ-F08,Design Thinking - Design Thinking 3,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Kerstin Buschbeck,Deutsch
BUS-MSQ-F09,Grundlagen der Digitalisierung - Grundlagen der Digitalisierung 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Katrin Böttcher,Deutsch
BUS-MSQ-F09,Grundlagen der Digitalisierung - Grundlagen der Digitalisierung 2,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Marian Felkel,Deutsch
BUS-MSQ-F09,Grundlagen der Digitalisierung - Grundlagen der Digitalisierung 3,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Marian Felkel,Deutsch
BUS-MSQ-F10,Visual Thinking for Business - Visual Thinking for Business 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Philip McClenaghan,Deutsch
BUS-MSQ-F10,Visual Thinking for Business - Visual Thinking for Business 2,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Philip McClenaghan,Deutsch
BUS-MSQ-F11,International Project Management - International Project Management 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Sakib Mehanovic,Deutsch
