Angebotsnummer,Bezeichnung,Credits,Prüfungsvorlage,Veranstaltungstyp,Dozierende
BA-BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 4,5,Klausur,seminaristischer Unterricht,Andreas Stotland
BA-BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 5 Blended,5,Klausur,seminaristischer Unterricht,Kai Klotz
BA-BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 6 - Ferienkurs Blended,5,Klausur,seminaristischer Unterricht,Prof. Dr. Maria Osipenko
AC-Mathe-BK,Wirtschaftsmathematischer Brückenkurs im Semester - Wirtschaftsmathematischer Brückenkurs im Semester 1,0,Keine Prüfung,Seminar,Mahkameh Komasi
AC-Mathe-BK,Wirtschaftsmathematischer Brückenkurs im Semester - Wirtschaftsmathematischer Brückenkurs im Semester 2,0,Keine Prüfung,Seminar,Martin Büttner
BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 1,5,Klausur,seminaristischer Unterricht,Mahkameh Komasi
BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 2 - Kurs für Wiederholende,5,Klausur,seminaristischer Unterricht,Prof. Dr. Ulrike C. Nikutta-Wasmuht
BA-BUS-M28-F01,Statistik - Statistik 1,5,Klausur,seminaristischer Unterricht,Christine Krüger
BA-BUS-M28-F01,Statistik - Statistik 2,5,Klausur,seminaristischer Unterricht,Prof. Dr. Edin Basic
BA-BUS-M28-F01,Statistik - Statistik 3,5,Klausur,seminaristischer Unterricht,Prof. Dr. Andreas Polk
BA-BUS-M28-F01,Statistik - Statistik 4,5,Klausur,seminaristischer Unterricht,Prof. Dr. rer. nat. Susanne Hannappel
BA-BUS-M28-F01,Statistik - Statistik 5,5,Klausur,seminaristischer Unterricht,Prof. Dr. Thomas Knispel
BA-BUS-M28-F01,Statistik - Statistik 6 Blended,5,Klausur,seminaristischer Unterricht,Ulrike Flemming
BUS-M28-F01,Statistik - Statistik 1 - Kurs für Wiederholende,5,Klausur,seminaristischer Unterricht,Prof. Dr. Andreas Polk
BUS-M28-F01,Statistik - Statistik 2 Abend,5,Klausur,seminaristischer Unterricht,Musa Tanriver
BA-BUS-M29-F01,Wirtschaftsinformatik 1 - Wirtschaftsinformatik 1 _ 1,5,Leistungstest,seminaristischer Unterricht,Dr. Salim Chujfi La Roche
BA-BUS-M29-F01,Wirtschaftsinformatik 1 - Wirtschaftsinformatik 1 _ 2,5,Leistungstest,seminaristischer Unterricht,Dr. Albrecht Heinrici
BA-BUS-M29-F01,Wirtschaftsinformatik 1 - Wirtschaftsinformatik 1 _ 3,5,Leistungstest,seminaristischer Unterricht,Dr. Salim Chujfi La Roche
BA-BUS-M29-F01,Wirtschaftsinformatik 1 - Wirtschaftsinformatik 1 _ 4 Blended,5,Leistungstest,seminaristischer Unterricht,Dr. Marie Glasemann
BUS-M29-F01,Grundlagen der Wirtschaftsinformatik - Grundlagen der Wirtschaftsinformatik Abend,5,Leistungstest (undifferenziert),seminaristischer Unterricht,Randy Witte
AC-Mathe-VK,Wirtschaftsmathematischer Vorkurs (Vor Semesterstart) - Wirtschaftsmathematischer Vorkurs (Vor Semesterstart) 1,0,Keine Prüfung,Seminar,Martin Büttner
AC-Mathe-VK,Wirtschaftsmathematischer Vorkurs (Vor Semesterstart) - Wirtschaftsmathematischer Vorkurs (Vor Semesterstart) 2,0,Keine Prüfung,Seminar,Frederik Freckmann
Spanisch-F02,Wirtschaftsspanisch A 2 - Wirtschaftsspanisch A 2 __1,5,Kombinierte Prüfung,Praktische Übung,Paula María Ulloa Martínez
Spanisch-F02,Wirtschaftsspanisch A 2 - Wirtschaftsspanisch A 2 __2,5,Kombinierte Prüfung,Praktische Übung,Carmen Perez Gauli
Spanisch-F03,Wirtschaftsspanisch B 1.1,5,Kombinierte Prüfung,Praktische Übung,Carmen Perez Gauli
Spanisch-F04,Wirtschaftsspanisch B 1.2,5,Kombinierte Prüfung,Praktische Übung,Priscila Munoz
Spanisch-F05,Wirtschaftsspanisch B 2.1,5,Kombinierte Prüfung,Praktische Übung,Carmen Gomez Aparicio
BA-BUS-M30-F01,Wirtschaftsinformatik 2 - Wirtschaftsinformatik 2 _ 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. rer. Heike Wiesner
BA-BUS-M30-F01,Wirtschaftsinformatik 2 - Wirtschaftsinformatik 2 _ 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Michael Sost
BA-BUS-M30-F01,Wirtschaftsinformatik 2 - Wirtschaftsinformatik 2 _ 3,5,Kombinierte Prüfung,seminaristischer Unterricht,Michael Sost
BA-BUS-M30-F01,Wirtschaftsinformatik 2 - Wirtschaftsinformatik 2 _ 4,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Herbert Goestl
BA-BUS-M30-F01,Wirtschaftsinformatik 2 - Wirtschaftsinformatik 2 _ 5,5,Kombinierte Prüfung,seminaristischer Unterricht,Michael Sost
BA-BUS-M30-F01,Wirtschaftsinformatik 2 - Wirtschaftsinformatik 2 _ 6,5,Kombinierte Prüfung,seminaristischer Unterricht,Thomas Schwier
Spanisch-F06,Wirtschaftsspanisch B 2.2,5,Kombinierte Prüfung,Praktische Übung,Andrea Blanco
Franz-F03,Wirtschaftsfranzösisch B 1.1,5,Kombinierte Prüfung,Praktische Übung,Yann-Nicolas Martial
BUS-M30-F01,Betriebliche Informationssysteme - Betriebliche Informationssysteme 1 Abend,5,Kombinierte Prüfung,seminaristischer Unterricht,Randy Witte
BUS-M30-F01,Betriebliche Informationssysteme - Betriebliche Informationssysteme 2 Blended,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Fatoumata Camara
Franz-F04,Wirtschaftsfranzösisch B 1.2,5,Kombinierte Prüfung,Praktische Übung,Floran Bayle
Franz-F05,Wirtschaftsfranzösisch B 2.1,5,Kombinierte Prüfung,Praktische Übung,Nadia Zeltzer-Domning
Franz-F06,Wirtschaftsfranzösisch B 2.2,5,Kombinierte Prüfung,Praktische Übung,Andrea Blanco
BUS-M39-F01,Praxisseminar - Praxisseminar 1,1,Leistungstest (undifferenziert),Seminar,Prof. Dr. Ewa Ostaszewska
BUS-M39-F01,Praxisseminar - Praxisseminar 2,1,Leistungstest (undifferenziert),Seminar,Prof. Dr. Ewa Ostaszewska
BUS-M39-F01,Praxisseminar - Praxisseminar 3,1,Leistungstest (undifferenziert),Seminar,Prof. Dr. Dirk-Mario Boltz
BUS-M39-F01,Praxisseminar - Praxisseminar 4,1,Leistungstest (undifferenziert),Seminar,Prof. Dr. Axel Zernack
BUS-M39-F01,Praxisseminar - Praxisseminar 5,1,Leistungstest (undifferenziert),Seminar,Prof. Dr. Andrea Rumler
BUS-M39-F01,Praxisseminar - Praxisseminar 6,1,Leistungstest (undifferenziert),Seminar,Prof. Dr. Carsten Baumgarth
BUS-M39-F01,Praxisseminar - Praxisseminar 7,1,Leistungstest (undifferenziert),Seminar,Dr. Wolfgang Marfels
Deutsch-F01,Wirtschaftsdeutsch A 1.1,5,Kombinierte Prüfung,Praktische Übung,Mozhgan Kruse
Deutsch-F02,Wirtschaftsdeutsch A 1.2 - Wirtschaftsdeutsch A 1.2 __ 1,5,Kombinierte Prüfung,Praktische Übung,Heike Bossmann
Deutsch-F02,Wirtschaftsdeutsch A 1.2 - Wirtschaftsdeutsch A 1.2 __ 2,5,Kombinierte Prüfung,Praktische Übung,Mozhgan Kruse
Deutsch-F03,Wirtschaftsdeutsch A 2.1 - Wirtschaftsdeutsch A 2.1 __ 1,5,Kombinierte Prüfung,Praktische Übung,Susanne Vieten-Wagner
Deutsch-F03,Wirtschaftsdeutsch A 2.1 - Wirtschaftsdeutsch A 2.1 __ 2,5,Kombinierte Prüfung,Praktische Übung,Dr. Anna Balaganina
Deutsch-F04,Wirtschaftsdeutsch A 2.2,5,Kombinierte Prüfung,Praktische Übung,Brigitte Hochberg-Köhler
Deutsch-F05,Wirtschaftsdeutsch B 1.1,5,Kombinierte Prüfung,Praktische Übung,Anemone Horn
Deutsch-F06,Wirtschaftsdeutsch B 1.2,5,Kombinierte Prüfung,Praktische Übung,Dr. Souad Bensalah-Mekkes
Deutsch-F07,Wirtschaftsdeutsch B 2.1,5,Kombinierte Prüfung,Praktische Übung,Lela-Rose Engler
Deutsch-F08,Wirtschaftsdeutsch B 2.2,5,Kombinierte Prüfung,Praktische Übung,Christine Belakhdar
Deutsch-F09,Wirtschaftsdeutsch C 1,5,Kombinierte Prüfung,Praktische Übung,Lela-Rose Engler
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 1 - entfällt,5,Kombinierte Prüfung,Projektseminar,
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 2,5,Kombinierte Prüfung,Projektseminar,Marlene Fröhlich
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 3,5,Kombinierte Prüfung,Projektseminar,Sebastian Schäfer
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 4,5,Kombinierte Prüfung,Projektseminar,Falko Carl
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 5,5,Kombinierte Prüfung,Projektseminar,Prof. Dr. rer. Sven Ripsas / Nora Revermann
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 6,5,Kombinierte Prüfung,Projektseminar,Christian Klang
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 7,5,Kombinierte Prüfung,Projektseminar,Christian Tegge
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 8,5,Kombinierte Prüfung,Projektseminar,Franziska Bammert
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 9,5,Kombinierte Prüfung,Projektseminar,Sohrab Mohammad
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 10,5,Kombinierte Prüfung,Projektseminar,Samir Roshandel
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 11,5,Kombinierte Prüfung,Projektseminar,Patrick Stähler
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 12,5,Kombinierte Prüfung,Projektseminar,Rafael Kugel
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 13,5,Kombinierte Prüfung,Projektseminar,Anett Lommatzsch
BA-BUS-M40-F01,Entrepreneurial Project - Entrepreneurial Project 14,5,Kombinierte Prüfung,Projektseminar,Sarah Ben Bernou
MPE-M01-F22,Feminist Economics,6.5,Hausarbeit,Seminar,Judith Waltl
UntRe-M11-F01,Forschungsmethodisches Seminar,6,Leistungstest (undifferenziert),seminaristischer Unterricht,Prof. Dr. Stefanie Lorenzen
POLEI-M11-F01,Research Seminar,6,Leistungstest (undifferenziert),seminaristischer Unterricht,Prof. Dr. Sigrid Betzelt
MM-M10-F01,Tutorial Seminar II,4,Leistungstest (undifferenziert),seminaristischer Lehrvortrag,Prof. Dr. Henning Kreis
MM-M06-F01,Marketing Project and Project Management,6.5,Projektbericht (P),seminaristischer Unterricht,Prof. Dr. Andrea Rumler
MM-M07-F01,Marketing Analytics,6.5,Kombinierte Prüfung,Übung am PC,Prof. Dr. Tobias Naujoks
MM-M11-F01,Research Seminar,6,Leistungstest (undifferenziert),seminaristischer Lehrvortrag,Prof. Dr. Henning Kreis
