Angebotsnummer,Bezeichnung,Credits,Prüfungsvorlage,Veranstaltungstyp,Dozierende
BUS-MSP-F09,"Business English C 1.2, Part 1 - Business English C 1.2, Part 1 __ 1",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Kenneth Rossiter
BUS-MSP-F09,"Business English C 1.2, Part 1 - Business English C 1.2, Part 1 __ 2",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Sandra Baker
BUS-MSP-F10,"Business English C 1.2, Part 2 - Business English C 1.2, Part 2 __ 1",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Krzysztof Debicki
BUS-MSP-F10,"Business English C 1.2, Part 2 - Business English C 1.2, Part 2 __ 2",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Sandra Baker
CAF-MBS-F01,Internationale Unternehmensbesteuerung,5,Mündliche Prüfung (P),seminaristischer Unterricht,Prof. Dr. Wojciech Stiller
CAF-MFin-F01,Finanzierungs- und Investitionspolitik der Unternehmen - Finanzierungs- und Investitionspolitik der Unternehmen 1,5,Klausur,seminaristischer Unterricht,Dr. Stefan Paulus
CAF-MFin-F01,Finanzierungs- und Investitionspolitik der Unternehmen - Finanzierungs- und Investitionspolitik der Unternehmen 2 Blended,5,Klausur,seminaristischer Unterricht,Dr. Stefan Paulus
CAF-MFin-F01,Finanzierungs- und Investitionspolitik der Unternehmen - Corporate Finance 3,5,Klausur,seminaristischer Unterricht,Prof. Dr. Martin Uzik
CAF-MFin-F02,Finanzwirtschaftliche Analyse und Bewertung - Finanzwirtschaftliche Analyse und Bewertung 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Martin Uzik
CAF-MFin-F02,Finanzwirtschaftliche Analyse und Bewertung - Financial Analysis and Valuation 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Martin Uzik
CAF-MFin-F03,Finanzwirtschaft der Kapitalmärkte - Finanzwirtschaft der Kapitalmärkte 1 Blended,5,Mündliche Prüfung (P),seminaristischer Unterricht,Prof. Dr. André Tomfort
CAF-MFin-F03,Finanzwirtschaft der Kapitalmärkte - Capital Markets 2,5,Klausur,seminaristischer Unterricht,Prof. Dr. André Tomfort
CAF-MFin-F06,Quantitative and Computational Finance,5,Kombinierte Prüfung,seminaristischer Unterricht,Natalie Packham
CAF-MM-F01,Produkt- und Vertriebsmanagement - Produkt- und Vertriebsmanagement 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Sascha Thieme
CAF-MM-F01,Produkt- und Vertriebsmanagement - Produkt- und Vertriebsmanagement 2 Blended,5,Kombinierte Prüfung,seminaristischer Unterricht,Sascha Thieme
CAF-MM-F01,Produkt- und Vertriebsmanagement - Product and Distribution Managment 3,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Ernestine Siebert
CAF-MM-F02,Marktforschung - Marktforschung 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Carsten Baumgarth
CAF-MM-F02,Marktforschung - Market Research 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Joachim Scholz-Ligma
CAF-MM-F02,Marktforschung - Market Research 3,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Joachim Scholz-Ligma
CAF-MM-F03,Kommunikation und Käuferverhalten - Kommunikation und Käuferverhalten 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Dirk-Mario Boltz
CAF-MM-F03,Kommunikation und Käuferverhalten - Kommunikation und Käuferverhalten 2 Blended,5,Kombinierte Prüfung,seminaristischer Unterricht,Simone Krüger
CAF-MM-F03,Kommunikation und Käuferverhalten - Communication Strategies and Consumer Behaviour 3,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Silke Knoll
CAF-MM-F05,"Digital Strategies for Public Communication, Social Media and Marketing",5,Kombinierte Prüfung,seminaristischer Unterricht,Marion Blacher-Schwake
CAF-MM-F08,Diversity in Consumer Research,5,Kombinierte Prüfung,Seminar,Dr. Silke Knoll
CAF-MM-F09,Online Marketing,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Sonja Klose
CAF-MPO-F01,Personalmanagement - Personalmanagement 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Monika Huesmann
CAF-MPO-F01,Personalmanagement - Personalmanagement 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Mona Mylius
CAF-MPO-F01,Personalmanagement - Personalmanagement 3 Blended,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Katharina Harsch
CAF-MPO-F01,Personalmanagement - Human Resource Management 4,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Martina Heike Schubert
CAF-MPO-F02,Organisationsgestaltung - Organisationsgestaltung 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Katharina Harsch
CAF-MPO-F02,Organisationsgestaltung - Organisationsgestaltung 2 Blended,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Andreas Wieg
CAF-MPO-F02,Organisationsgestaltung - Organizational Design 3,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Michael Graffius
CAF-MPO-F03,Rechtliche Aspekte von Personal und Organisation,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Reingard Zimmer
CAF-MPO-F05,Führung und Teamarbeit in hybriden Arbeitsumgebungen - Führung und Teamarbeit in hybriden Arbeitsumgebungen 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Christine Gockel
CAF-MPO-F06,Management Consulting,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Matthias Tomenendal
CAF-MRE-F01,Bilanzierung und Recht der Rechnungslegung - Bilanzierung und Recht der Rechnungslegung 1,5,Klausur,seminaristischer Unterricht,Prof. Dr. Nadja Jehle
CAF-MRE-F01,Bilanzierung und Recht der Rechnungslegung - Bilanzierung und Recht der Rechnungslegung 2 Blended,5,Klausur,seminaristischer Unterricht,Prof. Dr. Hans Lieck
CAF-MRE-F02,Internationale Rechnungslegung - Internationale Rechnungslegung 1- Blended,5,Klausur,seminaristischer Unterricht,Prof. Dr. Madeleine Janke
CAF-MRE-F03,Konzernrechnungslegung / Konzerncontrolling,5,Klausur,seminaristischer Unterricht,Prof. Dr. Madeleine Janke
EcoPol-F06,The Politics of Social Cohesion in Europe,6.5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Martina Sproll
CAF-MSCOM-F01,Beschaffungs- und Produktionsmanagement - Beschaffungs- und Produktionsmanagement 1 Blended,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Marc Rothländer
CAF-MSCOM-F01,Beschaffungs- und Produktionsmanagement - Production and Supply Management 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Alexander Tsipoulanidis
CAF-MSCOM-F02,Distributions- und Transportmanagement - Distributions- und Transportmanagement 1 Blended,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Marc Rothländer
CAF-MSCOM-F02,Distributions- und Transportmanagement - Distribution and Transportation Management 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Eberhard Schmid
CAF-MSCOM-F03,Supply Chain Management und Informationssysteme,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Christoph Manuel Meyer
CAF-MSCOM-F06,Operations Technology and Methods,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Alexander Tsipoulanidis
QS-M01-F01,Introduction to Time Series Analysis,5,Klausur,seminaristischer Unterricht,Prof. Dr. Till Strohsal
QS-M01-F04,Platforms and Digital Business Ecosystems,5,Portfolio,seminaristischer Unterricht,Prof. Dr. Sabine Baumann / Tjark-Marvin Göllner
QS-M01-F05,International Management,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Ewa Ostaszewska
IBMAN-MI-F01,Management Issues: Strategy and Innovation,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Caroline V. Rudzinska
IBMAN-M32-F01,Communication and Interaction in a Professional Context - Communication and Interaction in a Professional Context 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Martin Castro
IBMAN-M42-F01,Research Methodology,5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Christoph Dörrenbächer
IBMAN-M41-F01,Supervision,5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Katrin Böttcher
IBMAN-M10-F01,Business Simulation - Business Simulation 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Agnes Aschfalk-Evertz / Prof. Dr. oec. Thomas Gruber
IBMAN-M34-F01,"History, Politics and Economics of the Host Country - History, Politics and Economics of the Host Country 1",5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Susanne Dittberner
IBMAN-M33-F01,Intercultural Communication - Intercultural Communication 1,3,Kombinierte Prüfung,"Projektseminar, Action-learning",Dr. Katharina Maak-Castro / Martin Castro
IBMAN-M22-F01,International Economics,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. habil. Elke Muchlinski / Prof. Dr. Jennifer Pédussel Wu
IBMAN-M07-F01,Strategic Management,5,Mündliche Prüfung (P),seminaristischer Unterricht,Prof. Dr. Mario Glowik
IBMAN-M23-F01,Fundamentals of Business Law,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Torsten Straub
IBMAN-M03-F01,Marketing,5,Klausur,seminaristischer Unterricht,Prof. Dr. Andrea Rumler
IBMAN-M11-F01,Operations Management,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Alexander Tsipoulanidis
IBMAN-M27-F01,Statistics,5,Klausur,seminaristischer Unterricht,Prof. Dr. Frank Brand
IBMAN-M25-F01,"Work, Business and Society",5,Kombinierte Prüfung,seminaristischer Unterricht,Nikos Markogiannakis
IBMAN-M08-F01,International Management - International Management 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Christoph Dörrenbächer
IBMAN-M06-F01,Management Accounting and Controlling,5,Klausur,seminaristischer Unterricht,Prof. Dr. Michael Faustino Bauer
IBMAN-M09-F01,Organisational Behaviour in International Companies - Organisational Behaviour in International Companies 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Barbara Beham
IBMAN-M12-F01,Corporate Environmental Management,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Annett Baumast
IBMAN-M29-F01,Business Applications,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Fatoumata Camara
IBMAN-M05-F01,Principles of Managerial Accounting,5,Klausur,seminaristischer Unterricht,Prof. Dr. oec. Thomas Gruber
IBMAN-M21-F01,Macroeconomics: The Economic Cycle and Employment,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Till Strohsal
IBMAN-M24-F01,Regional Studies - Regional Studies 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. José Magone
IBMAN-M02-F01,Principles of Corporate Finance,5,Klausur,seminaristischer Unterricht,Prof. Dr. Marc Crummenerl
IBMAN-M30-F01,Introduction to the Study Programme and the Academic Environment,2,Leistungstest (undifferenziert),seminaristischer Unterricht,Prof. Dr. Mario Glowik
IBMAN-M31-F01,Self Management - Self Management 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Daisy Krüger
IBMAN-M04-F01,Principles of Financial Accounting,5,Klausur,seminaristischer Unterricht,Alexander Westphal
IBMAN-M01-F01,Human Resources and Organisation,5,Kombinierte Prüfung,seminaristischer Unterricht,John C. Davis
IBMAN-M26-F01,Mathematics for Business and Economics,5,Klausur,seminaristischer Unterricht,Sourav Adhikari
IBMAN-M20-F01,Microeconomics: Allocation and Distribution,5,Klausur,seminaristischer Unterricht,Prof. Dr. Jennifer Pédussel Wu
IBMAN-M28-F01,Digital Business,5,Leistungstest (undifferenziert),seminaristischer Unterricht,Dr. Salim Chujfi La Roche
IBMAN-M08-F01,International Management - International Management 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Ewa Ostaszewska
IBMAN-M09-F01,Organisational Behaviour in International Companies - Organisational Behaviour in International Companies 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Jessica Di Bella
IBMAN-M10-F01,Business Simulation - Business Simulation 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. rer. Sabine Haller / Prof. Dr. Tobias Braun
IBMAN-M24-F01,Regional Studies - Regional Studies 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. José Magone
IBMAN-M31-F01,Self Management - Self Management 2,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Daisy Krüger
IBMAN-M32-F01,Communication and Interaction in a Professional Context - Communication and Interaction in a Professional Context 2,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Rami Abo Zarad
IBMAN-M33-F01,Intercultural Communication - Intercultural Communication 2,3,Kombinierte Prüfung,"Projektseminar, Action-learning",Rami Abo Zarad
IBMAN-M34-F01,"History, Politics and Economics of the Host Country - History, Politics and Economics of the Host Country 2",5,Kombinierte Prüfung,seminaristischer Unterricht,Jörg Nielandt
WiRecht-M39-F02...,English for Business Law: Common Law Cases,3,Leistungstest (undifferenziert),seminaristischer Unterricht,Prof. Dr. Torsten Straub
WiRecht-M39-F01...,English for Business Law: English Legal System,3,Leistungstest (undifferenziert),seminaristischer Unterricht,Prof. Dr. Torsten Straub
WiRecht-M09-F01...,Vertiefung Zivilrecht,3,Klausur,Praktische Übung,Prof. Dr. Sebastian Schunke
WiRecht-M41-F01...,Praxisseminar,1,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Sebastian Schunke
WiRecht-M06-F02...,Recht im Unternehmen (Gesellschaftsrecht I),2.5,Klausur,seminaristischer Unterricht,Julia Preußer
WiRecht-M06-F01...,Recht im Unternehmen (Arbeitsrecht I),2.5,Klausur,seminaristischer Unterricht,Prof. Dr. Reingard Zimmer
WiRecht-M04-F01...,Zivilrecht III,5,Kombinierte Prüfung,Seminar,Prof. Dr. Sebastian Schunke
WiRecht-M05-F01...,Zivilrecht IV,5,Hausarbeit,seminaristischer Unterricht,Prof. Dr. Arnold Lehmann-Richter
WiRecht-M12-F01...,Wirtschaftsstrafrecht,5,Klausur,seminaristischer Unterricht,Alexander Sättele
WiRecht-M23-F01...,Bank- und Kreditsicherungsrecht,5,Klausur,seminaristischer Unterricht,Prof. Dr. Julia Klauer
WiRecht-M08-F01...,Gesellschaftsrecht II,5,Hausarbeit,seminaristischer Unterricht,Julia Preußer
WiRecht-M21-F01...,Europäisches Wirtschaftsrecht,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Torsten Straub
WiRecht-M07-F01...,Arbeitsrecht II,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Stefanie Lorenzen
Wi-Inf-M16-F01,Recht der digitalen Wirtschaft,5,Hausarbeit,"Projektseminar, Action-learning",Dr. Michael Funke
WiRecht-M24-F01...,Praktische Anwendungen des Wirtschaftsrechts,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Torsten Straub
WiRecht-M03-F01...,Zivilrecht II,5,Hausarbeit,seminaristischer Unterricht,Prof. Dr. Arnold Lehmann-Richter
WiRecht-M35-F01...,Statistik,5,Klausur,seminaristischer Unterricht,Dr. Michael Schlegel
WiRecht-M11-F02...,Öffentliches Wirtschaftsrecht,5,Klausur,seminaristischer Unterricht,Prof. Dr. Johannes Schäffer / Nina Tippmann
WiRecht-M01-F01...,Einführung in das Studium,2,Leistungstest (undifferenziert),Projektseminar,Prof. Dr. Sebastian Schunke
WiRecht-M34-F01...,Volkswirtschaftliche Rahmenbedingungen,5,Klausur,Seminar,Dr. Sylvi Rzepka
WiRecht-M02-F01...,Zivilrecht I,5,Klausur,seminaristischer Unterricht,Julia Preußer
BA-WiIng-M32-F0...,Projektmanagement und Fallstudien,5,Kombinierte Prüfung,seminaristischer Unterricht,Frank Hinrichs / Charlotte Ritter
BA-WiIng-M33-F0...,Unternehmenssimulation mit Teamentwicklung und Supervision - Unternehmenssimulation mit Teamentwicklung und Supervision 1,5,Kombinierte Prüfung (undifferenziert),Übung,Prof. Dr. rer. Christian Noss / Susanne Schubert
BA-WiIng-M34-F0...,Strategische Finanzplanung und Bewertung,5,Klausur,seminaristischer Unterricht,Prof. Dr. Frank Witte
BA-WiIng-M36-F0...,Nachhaltiges Operations Management II,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Eberhard Schmid
BA-WiIng-M37-F0...,Analyse unternehmerischer Nachhaltigkeit,5,Klausur,seminaristischer Unterricht,Prof. Dr. Annett Baumast
BA-WiIng-M21-F0...,Statistik,5,Klausur,seminaristischer Unterricht,Dr. Hartmut Bauer
BA-WiIng-M22-F0...,Investition und Finanzierung,5,Klausur,seminaristischer Unterricht,Prof. Dr. Axel Hellmann
BA-WiIng-M07-F0...,Business English II,0,Kombinierte Prüfung,Übung,Sandra Baker
BA-WiIng-M07-F0...,Business English III,0,Kombinierte Prüfung,Übung,Sandra Baker
BA-WiIng-M08-F0...,Einführung in die Umweltökonomie und nachhaltige Entwicklung,5,Klausur,seminaristischer Unterricht,Gerrit von Jorck
BA-WiIng-M09-F0...,Marketing,5,Klausur,seminaristischer Unterricht,Prof. Dr. rer. Harald Rüggeberg
BA-WiIng-M33-F0...,Unternehmenssimulation mit Teamentwicklung und Supervision - Unternehmenssimulation mit Teamentwicklung und Supervision 2,5,Kombinierte Prüfung (undifferenziert),Übung,Robert Dabitz / Sandra Fanroth
Wi-Inf-M12-F01,Sicherheit in der Informationstechnologie,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Katja Andresen
Wi-Inf-M37-F01,Praxisseminar,1,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. rer. Heike Wiesner
Wi-Inf-M17-F01,Unternehmenssoftware für KMU,5,Kombinierte Prüfung,Übung am PC,Corinna Friebel-Fohrholz
Wi-Inf-M14-F01,IT Governance und IT Service Management,5,Klausur,Praktische Übung,Prof. Dr. Sven Pohland
Wi-Inf-M10-F01,Projekt Software Engineering,10,Projektdokumentation,"Projektseminar, Action-learning",Prof. Dr. rer. Heike Wiesner
Wi-Inf-M28-F01,Volkswirtschaftliche Rahmenbedingungen,5,Klausur,seminaristischer Unterricht,Dr. Heinrich Jess
Wi-Inf-M04-F01,Datenbanken,10,Klausur,seminaristischer Unterricht,Prof. Dr. Markus Schaal
Wi-Inf-M31-F01,Statistik,5,Klausur,seminaristischer Unterricht,Prof. Dr. rer. nat. Susanne Hannappel
Wi-Inf-M08-F01,App Entwicklung mit Android,5,Kombinierte Prüfung,seminaristischer Unterricht,Holger Zimmermann
Wi-Inf-M11-F01,Unternehmensmodellierung,5,Klausur,seminaristischer Unterricht,Prof. Dr. Frank Habermann
Wi-Inf-M15-F01,Aktuelle Fragen der Wirtschaftsinformatik,5,Kombinierte Prüfung,"Projektseminar, Action-learning",Prof. Dr. Alexander Eck
Wi-Inf-M18-F01,E-Business und digitale Geschäftsmodelle,5,Kombinierte Prüfung,Übung am PC,Andreas Gäbler
Wi-Inf-M35-F01,Projektmanagement,5,Kombinierte Prüfung (undifferenziert),seminaristischer Unterricht,Prof. Dr. Sven Pohland
Wi-Inf-M13-F01,Informations- und Kommunikationsmanagement - Informations- und Kommunikationsmanagement 1,5,Kombinierte Prüfung,Praktische Übung,Ertan Gönülal
Wi-Inf-M09-F02,Full-Stack Web Development,5,Programmentwurf,Übung am PC,Prof. Dr. Alexander Eck
Wi-Inf-M19-F02,Introduction to Data Analytics,5,Kombinierte Prüfung,Übung am PC,Khanh Le Nguyen
Wi-Inf-M33-F01,English 2- English for Information Technology Part 2 - English 2- English for Information Technology Part 2 __ 1,3,Leistungstest (undifferenziert),Praktische Übung,Aleksandar Zivkovic
Wi-Inf-M03-F01,Betriebliche Informationssysteme,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Katja Andresen
Wi-Inf-M06-F01,Objektorientierte Programmierung II - Objektorientierte Programmierung II_1,5,Kombinierte Prüfung,Übung am PC,Prof. Dr. Markus Schaal
Wi-Inf-M01-F01,Einführung in das Studium der Wirtschaftsinformatik - Einführung in das Studium der Wirtschaftsinformatik 1,1,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Katja Andresen
Wi-Inf-M32-F01,English 1- English for Information Technology Part 1 - English 1- English for Information Technology Part 1 __ 1,3,Leistungstest (undifferenziert),Praktische Übung,Aleksandar Zivkovic
Wi-Inf-M27-F01,Sozialwissenschaftliche Aspekte der Informations- und Wissensgesellschaft,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. rer. Heike Wiesner
Wi-Inf-M05-F01,Objektorientierte Programmierung I - Objektorientierte Programmierung I_1,5,Kombinierte Prüfung,Übung am PC,Prof. Dr. Diana Hristova
Wi-Inf-M02-F01,Grundlagen der Wirtschaftsinformatik - Grundlagen der Wirtschaftsinformatik 1,5,Kombinierte Prüfung,Übung am PC,Randy Witte
Wi-Inf-M01-F01,Einführung in das Studium der Wirtschaftsinformatik - Einführung in das Studium der Wirtschaftsinformatik 2,1,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Thomas Schwier
Wi-Inf-M02-F01,Grundlagen der Wirtschaftsinformatik - Grundlagen der Wirtschaftsinformatik 2,5,Kombinierte Prüfung,Übung am PC,Leonie Scholl
Wi-Inf-M05-F01,Objektorientierte Programmierung I - Objektorientierte Programmierung I_2,5,Kombinierte Prüfung,Übung am PC,Prof. Dr. Diana Hristova
Wi-Inf-M06-F01,Objektorientierte Programmierung II - Objektorientierte Programmierung II_2,5,Kombinierte Prüfung,Übung am PC,Prof. Dr. Alexander Eck
Wi-Inf-M32-F01,English 1- English for Information Technology Part 1 - English 1- English for Information Technology Part 1 __ 2,3,Leistungstest (undifferenziert),Praktische Übung,Aleksandar Zivkovic
Wi-Inf-M33-F01,English 2- English for Information Technology Part 2 - English 2- English for Information Technology Part 2 __ 2,3,Leistungstest (undifferenziert),Praktische Übung,Alan McElroy
Wi-Inf-M20-F01,Optimierung und Simulation - Optimisation and Simulation,5,Kombinierte Prüfung,"Projektseminar, Action-learning",Prof. Dr. Frank Brand
BA-Eco-M43-F01,Praxisseminar,1,Referat (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Tobias Börger
BA-Eco-M35-F01,Statistik II - Statistik II_1,5,Klausur,seminaristischer Unterricht,Prof. Dr. Thomas Knispel
BA-Eco-M35-F01,Statistik II - Statistik II_2,5,Klausur,seminaristischer Unterricht,Prof. Dr. Markus Löcher
BA-Eco-M35-F01,Statistik II - Statistik II_3,5,Klausur,seminaristischer Unterricht,Prof. Dr. rer. nat. Susanne Hannappel
BA-Eco-M34-F01,Statistik I,5,Klausur,seminaristischer Unterricht,Prof. Dr. Edin Basic
BA-Eco-M33-F01,Wirtschaftsmathematik,5,Klausur,Seminar,Gunda-Alexandra Detmers
BA-Eco-M17-F01,Verhaltensökonomik - Behavioral Economics,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Tim Lohse / Prof. Dr. Salmai Qari
BA-Eco-M13-F01,Europäische Wirtschaftspolitik - European Economic Policy,5,Kombinierte Prüfung,"Projektseminar, Action-learning",Dr. habil. Elke Muchlinski
BA-Eco-M10-F01,Theorie der Wirtschaftspolitik,5,Kombinierte Prüfung,seminaristischer Unterricht,Sarah Godar
BA-Eco-M08-F01,Angewandte Mikroökonomie,5,Klausur,seminaristischer Unterricht,Prof. Dr. Tim Lohse
BA-Eco-M07-F01,Nationale und internationale Finanzbeziehungen - National and International Financial Relations,5,Hausarbeit,seminaristischer Unterricht,Ayoze Alfageme
BA-Eco-M06-F01,Empirische Wirtschaftsforschung und Grundlagen der Ökonometrie - Empirische Wirtschaftsforschung und Grundlagen der Ökonometrie 1,5,Klausur,seminaristischer Unterricht,Prof. Dr. Salmai Qari
BA-Eco-M06-F01,Empirische Wirtschaftsforschung und Grundlagen der Ökonometrie - Empirical Economic Research and Introductory Econometrics 2,5,Klausur,seminaristischer Unterricht,Prof. Dr. Salmai Qari
BA-Eco-M04-F01,Mikroökonomie II,5,Klausur,seminaristischer Unterricht,Dr. Enrico Böhme
BA-Eco-M01-F01,Einführung in das Volkswirtschaftsstudium,2,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Tobias Börger
CAF-MM-F06,Welcome to the machine: KI-Tools für jeden Schritt im Marketing,5,Kombinierte Prüfung,Seminar,Prof. Dr. Dirk-Mario Boltz
BA-BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 1,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. rer. Christian Noss
BA-BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 2,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. B. Peter Utzig / Prof. Dr. Frank Witte
BA-BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 3,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. B. Peter Utzig / Prof. Dr. Frank Witte
BA-BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 4,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. rer. Christian Noss / Prof. Dr. Martina Eberl
BA-BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 5,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. Thomas Wolke
BA-BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 6,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. rer. Christian Noss / Prof. Dr. Katrin Böttcher
BA-BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 7,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. rer. Christian Noss
BA-BUS-M11-F01,Unternehmenssimulation und Teamentwicklung - Unternehmenssimulation und Teamentwicklung 8,5,Leistungstest (undifferenziert),Praktische Übung,Prof. Dr. rer. Sabine Haller / Prof. Dr. Tobias Braun
BUS-MSQ-F01,Selbstmanagement - Selbstmanagement 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Dietrich Wolbert
BUS-MSQ-F01,Selbstmanagement - Selbstmanagement 2,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Dietrich Wolbert
BUS-MSQ-F01,Selbstmanagement - Selbstmanagement 3,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Sandra Mihailovic
BUS-MSQ-F01,Selbstmanagement - Selbstmanagement 4,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Ina Brodersen
BUS-MSQ-F01,Selbstmanagement - Self Management 5,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Dr. Martina Heike Schubert / Dr. Gregor Wittke
BUS-MSQ-F02,Kommunikation und Präsentation - Kommunikation und Präsentation 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Siegrid Nordhausen
BUS-MSQ-F02,Kommunikation und Präsentation - Kommunikation und Präsentation 2,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Dr. Sabine Vollmert-Spiesky
BUS-MSQ-F02,Kommunikation und Präsentation - Kommunikation und Präsentation 3 Blended,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Aleksandra Skoric
BUS-MSQ-F04,Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel) - Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel) 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Monika Huesmann
