modul_id,modulbezeichnung,etcs,sws,prüfungsform,veranstaltungstyp
BA-Eco-M17-F01,Verhaltensökonomik ,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-Eco-M13-F01,Europäische Wirtschaftspolitik ,5,,Kombinierte Prüfung,Projektseminar, Action-learning
BA-Eco-M10-F01,Theorie der Wirtschaftspolitik,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-Eco-M08-F01,Angewandte Mikroökonomie,5,,Klausur,seminaristischer Unterricht
BA-Eco-M07-F01,Nationale und internationale Finanzbeziehungen ,5,,Hausarbeit,seminaristischer Unterricht
BA-Eco-M06-F01,Empirische Wirtschaftsforschung und Grundlagen der Ökonometrie ,5,,Klausur,seminaristischer Unterricht
BA-Eco-M04-F01,Mikroökonomie II,5,,Klausur,seminaristischer Unterricht
BA-Eco-M01-F01,Einführung in das Volkswirtschaftsstudium,2,,Leistungstest (undifferenziert),Projektseminar, Action-learning
CAF-MM-F06,Welcome to the machine: KI-Tools für jeden Schritt im Marketing,5,,Kombinierte Prüfung,Seminar
BA-BUS-M11-F01,Unternehmenssimulation und Teamentwicklung ,5,,Leistungstest (undifferenziert),Praktische Übung
BUS-MSQ-F01,Selbstmanagement ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSQ-F02,Kommunikation und Präsentation ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSQ-F04,Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel) ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSQ-F03,Agiles Projektmanagement ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSQ-F05,Gesprächsführung ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSQ-F06,Interkulturelle Kompetenz ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSQ-F07,Improve-Präsentationstraining/ Improvisationstheater ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSQ-F08,Design Thinking ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSQ-F09,Grundlagen der Digitalisierung ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSQ-F10,Visual Thinking for Business ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSQ-F11,International Project Management ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSQ-F12,Generative AI ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
